cluster,track_id,name,artist,embed_code
3,TRCWYJA128F92F27D6,Baby I'm A Fool,Melody Gardot,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/4nau48vyKaPej19xkRfean?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
3,TRIZWXN128F423C6B4,Boadicea,Enya,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/43AiEY2ztKnsFLKM7CCHBk?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
3,TRXJWFS128F92F27DB,Our Love Is Easy,Melody Gardot,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/5x28E57yqcgllKOY4d1y6R?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
3,TRYBFNR128F426BE3D,Flume,Bon Iver,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/0bhBtXHQX3u6dSAPF59qGx?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
3,TRNYILG12903CDE93B,Your Heart Is As Black As Night,Melody Gardot,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/0UeHEyiQbw9zOXPdrRhAkD?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
4,TRPGPDK12903CCC651,Bring Me To Life,Katherine Jenkins,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/7o3eLXwciMtZExSwQsMU5j?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
4,TRGMZNT128F92DE267,Tim McGraw,Taylor Swift,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/2Fn01AIMyHbha2ceNQeOqw?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
4,TRZDMLR128F42854CB,I’m Gonna Miss Her,Brad Paisley,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/4ipZsAA3YuqCDSXiPoEGIv?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
4,TRUCZTB128F4218750,What Was I Thinkin',Dierks Bentley,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/0r8iDf65NHgFgZOGLwj5r8?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
4,TRWQINA128F9339E57,Buddy Holly,Weezer,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/3mwvKOyMmG77zZRunnxp9E?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
